17:05:40 [INFO] Opening target process: csgo.exe
17:05:40 [INFO] Starting signature scanning: 57 items
17:05:40 [INFO] Found signature: dwClientState => 0x589DD4
17:05:40 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
17:05:40 [INFO] Found signature: dwClientState_IsHLTV => 0x4D40
17:05:40 [INFO] Found signature: dwClientState_Map => 0x28C
17:05:40 [INFO] Found signature: dwClientState_MapDirectory => 0x188
17:05:40 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
17:05:40 [INFO] Found signature: dwClientState_PlayerInfo => 0x52B8
17:05:40 [INFO] Found signature: dwClientState_State => 0x108
17:05:40 [INFO] Found signature: dwClientState_ViewAngles => 0x4D88
17:05:40 [INFO] Found signature: clientstate_delta_ticks => 0x174
17:05:40 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D24
17:05:40 [INFO] Found signature: clientstate_choked_commands => 0x4D28
17:05:40 [INFO] Found signature: clientstate_net_channel => 0x9C
17:05:40 [INFO] Found signature: dwEntityList => 0x4D4B104
17:05:40 [INFO] Found signature: dwForceAttack => 0x317C6EC
17:05:40 [INFO] Found signature: dwForceAttack2 => 0x317C6F8
17:05:40 [INFO] Found signature: dwForceBackward => 0x317C6A4
17:05:40 [INFO] Found signature: dwForceForward => 0x317C710
17:05:40 [INFO] Found signature: dwForceJump => 0x51F4D88
17:05:40 [INFO] Found signature: dwForceLeft => 0x317C698
17:05:40 [INFO] Found signature: dwForceRight => 0x317C6BC
17:05:40 [INFO] Found signature: dwGameDir => 0x628678
17:05:40 [INFO] Found signature: dwGameRulesProxy => 0x526807C
17:05:40 [INFO] Found signature: dwGetAllClasses => 0xD5CF8C
17:05:40 [INFO] Found signature: dwGlobalVars => 0x589AD8
17:05:40 [INFO] Found signature: dwGlowObjectManager => 0x5292F20
17:05:40 [INFO] Found signature: dwInput => 0x519C698
17:05:40 [INFO] Found signature: dwInterfaceLinkList => 0x900584
17:05:40 [INFO] Found signature: dwLocalPlayer => 0xD36B94
17:05:40 [INFO] Found signature: dwMouseEnable => 0xD3C738
17:05:40 [INFO] Found signature: dwMouseEnablePtr => 0xD3C708
17:05:40 [INFO] Found signature: dwPlayerResource => 0x317AA3C
17:05:40 [INFO] Found signature: dwRadarBase => 0x517FE5C
17:05:40 [INFO] Found signature: dwSensitivity => 0xD3C5D4
17:05:40 [INFO] Found signature: dwSensitivityPtr => 0xD3C5A8
17:05:40 [INFO] Found signature: dwSetClanTag => 0x89F00
17:05:40 [INFO] Found signature: dwViewMatrix => 0x4D3CA34
17:05:40 [INFO] Found signature: dwWeaponTable => 0x519D15C
17:05:40 [INFO] Found signature: dwWeaponTableIndex => 0x325C
17:05:40 [INFO] Found signature: dwYawPtr => 0xD3C398
17:05:40 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD415E0
17:05:40 [INFO] Found signature: dwbSendPackets => 0xD3ECA
17:05:40 [INFO] Found signature: dwppDirect3DDevice9 => 0xA7030
17:05:40 [INFO] Found signature: m_pStudioHdr => 0x294C
17:05:40 [INFO] Found signature: m_yawClassPtr => 0xD3C398
17:05:40 [INFO] Found signature: m_pitchClassPtr => 0x5180100
17:05:40 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
17:05:40 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
17:05:40 [INFO] Found signature: m_bDormant => 0xED
17:05:40 [INFO] Found signature: model_ambient_min => 0x58CE4C
17:05:40 [INFO] Found signature: set_abs_angles => 0x1D2CD0
17:05:40 [INFO] Found signature: set_abs_origin => 0x1D2B10
17:05:40 [INFO] Found signature: is_c4_owner => 0x3A9550
17:05:40 [INFO] Found signature: force_update_spectator_glow => 0x39CD52
17:05:40 [INFO] Found signature: anim_overlays => 0x2980
17:05:40 [INFO] Found signature: m_flSpawnTime => 0xA360
17:05:40 [INFO] Found signature: find_hud_element => 0x2F56FED0
17:05:40 [INFO] Finished signature scanning: 57/57 items successful
17:05:40 [INFO] Starting netvar scanning: 85 items
17:05:40 [INFO] Found netvar: m_ArmorValue => 0xB368
17:05:40 [INFO] Found netvar: m_Collision => 0x320
17:05:40 [INFO] Found netvar: m_CollisionGroup => 0x474
17:05:40 [INFO] Found netvar: m_Local => 0x2FBC
17:05:40 [INFO] Found netvar: m_MoveType => 0x25B
17:05:40 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31C4
17:05:40 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31C0
17:05:40 [INFO] Found netvar: m_aimPunchAngle => 0x302C
17:05:40 [INFO] Found netvar: m_aimPunchAngleVel => 0x3038
17:05:40 [INFO] Found netvar: m_bGunGameImmunity => 0x3930
17:05:40 [INFO] Found netvar: m_bHasDefuser => 0xB378
17:05:40 [INFO] Found netvar: m_bHasHelmet => 0xB35C
17:05:40 [INFO] Found netvar: m_bInReload => 0x3238
17:05:40 [INFO] Found netvar: m_bIsDefusing => 0x391C
17:05:40 [INFO] Found netvar: m_bIsScoped => 0x3914
17:05:40 [INFO] Found netvar: m_bSpotted => 0x93D
17:05:40 [INFO] Found netvar: m_bSpottedByMask => 0x980
17:05:40 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
17:05:40 [INFO] Found netvar: m_fAccuracyPenalty => 0x3330
17:05:40 [INFO] Found netvar: m_fFlags => 0x104
17:05:40 [INFO] Found netvar: m_flFallbackWear => 0x31D0
17:05:40 [INFO] Found netvar: m_flFlashDuration => 0xA410
17:05:40 [INFO] Found netvar: m_flFlashMaxAlpha => 0xA40C
17:05:40 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3238
17:05:40 [INFO] Found netvar: m_hActiveWeapon => 0x2EF8
17:05:40 [INFO] Found netvar: m_hMyWeapons => 0x2EF8
17:05:40 [INFO] Found netvar: m_hObserverTarget => 0x338C
17:05:40 [INFO] Found netvar: m_hOwner => 0x29CC
17:05:40 [INFO] Found netvar: m_hOwnerEntity => 0x14C
17:05:40 [INFO] Found netvar: m_iAccountID => 0x2FC8
17:05:40 [INFO] Found netvar: m_iClip1 => 0x3264
17:05:40 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
17:05:40 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
17:05:40 [INFO] Found netvar: m_iCrosshairId => 0xB378
17:05:40 [INFO] Found netvar: m_iEntityQuality => 0x2FAC
17:05:40 [INFO] Found netvar: m_iFOVStart => 0x31E8
17:05:40 [INFO] Found netvar: m_iFOV => 0x31E4
17:05:40 [INFO] Found netvar: m_iGlowIndex => 0xA410
17:05:40 [INFO] Found netvar: m_iHealth => 0x100
17:05:40 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
17:05:40 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
17:05:40 [INFO] Found netvar: m_iObserverMode => 0x3378
17:05:40 [INFO] Found netvar: m_iShotsFired => 0xA380
17:05:40 [INFO] Found netvar: m_iState => 0x3258
17:05:40 [INFO] Found netvar: m_iTeamNum => 0xF4
17:05:40 [INFO] Found netvar: m_lifeState => 0x25F
17:05:40 [INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
17:05:40 [INFO] Found netvar: m_nFallbackSeed => 0x31CC
17:05:40 [INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
17:05:40 [INFO] Found netvar: m_nForceBone => 0x268C
17:05:40 [INFO] Found netvar: m_nTickBase => 0x3430
17:05:40 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
17:05:40 [INFO] Found netvar: m_szCustomName => 0x303C
17:05:40 [INFO] Found netvar: m_szLastPlaceName => 0x35B4
17:05:40 [INFO] Found netvar: m_vecOrigin => 0x138
